Dice,IoU,Sensitivity,Specificity,Accuracy,epoch,loss
0.1041658902116441,0.05562951008949526,0.8535183112027761,0.728706401189116,0.7044927014802632,1,2.034845497157123
0.24450991677624495,0.1417895037482924,0.788161229835378,0.968769998165024,0.9376845189144737,2,1.4330882542842143
0.2796906704671299,0.16688971729715465,0.7088347943533836,0.9885761988078133,0.9540414268092107,3,1.1059120474634945
0.437918856553967,0.2868301719848194,0.7272831654032764,0.9913102418999832,0.9610253906249999,4,0.9686018953452239
0.47323352485060255,0.3172584687561167,0.7404705497348341,0.9917197479290487,0.9623159950657895,5,0.877494486602577
0.4918145958942352,0.33412939796190316,0.7371287792713088,0.9932232587247544,0.9652564761513159,6,0.8092035780081878
0.43371438725575284,0.2894051414915357,0.6659501233954865,0.99672605151043,0.9640054481907896,7,0.7529046326070219
0.4984703954317094,0.3463848944227161,0.6960657532420552,0.9962258619733401,0.9669562088815791,8,0.7079518968994553
0.4748726842194277,0.3215985076757819,0.7244003419998026,0.9945023690113747,0.9656522409539473,9,0.672967520920006
0.5454549201732185,0.3848523137050532,0.7951061991907433,0.9913682093098896,0.9672054893092104,10,0.6359894678399369
0.5331044830499243,0.3729296714364272,0.7704452265467978,0.9934670011411921,0.9675591077302632,11,0.6110102534294128
0.5102243602455877,0.34912946983817283,0.7973397607767072,0.9907136650520719,0.9632668585526317,12,0.5915994700547811
0.5522375000353371,0.3905382859461427,0.7691066180663121,0.9943205931766935,0.9684647409539472,13,0.5811284184455872
0.5409888233218831,0.38556544524957687,0.7360657926162041,0.9958958476057053,0.9678469366776316,14,0.5641276626973539
0.5372874762383554,0.37970244990987334,0.7127363437605024,0.9968109153678913,0.968239617598684,15,0.5444844912838291
0.5648662560735057,0.4030505911332241,0.8017313980172068,0.9929004941456779,0.9688399465460527,16,0.532084001077188
0.5819763093685785,0.4206037207181282,0.80155740417305,0.9932181520081066,0.9697460937500002,17,0.5233222455591768
0.5585947020419572,0.4016016597902984,0.7044430759353526,0.9970815529928262,0.9690974506578947,18,0.5112676386897629
0.5659861489263115,0.4079851164528329,0.7166489580454112,0.9969658432853642,0.9696787623355263,19,0.506324361304979
0.5837092962886108,0.42523408364266685,0.7980635339262249,0.993699918161691,0.970289884868421,20,0.49830713787594355
0.5757703820136806,0.41418441324674815,0.7837329213139604,0.9943594637876967,0.9696201685855264,21,0.48667895874461614
0.5646712986592165,0.4063271350770363,0.7954316745689997,0.9938513046022284,0.9700035978618421,22,0.48206420524700266
0.5717421593490731,0.41824705805864426,0.751820520718754,0.9962113277811075,0.9706049547697368,23,0.4736755127842362
0.5725640104518167,0.4163501088958677,0.7881237531447036,0.9947038649483135,0.9711215049342105,24,0.4641935680363629
0.5807223494184924,0.42157443691492125,0.7162226124705569,0.997357927095838,0.9698848684210527,25,0.4590519674726435
0.5736356032878598,0.41203888204658484,0.8214225077521549,0.9929229973311633,0.9699105674342104,26,0.4577446724917438
0.5983653136824908,0.44032878309943796,0.7800094853292868,0.9955195841852714,0.9723488898026318,27,0.45055467937443705
0.5662392578104761,0.4057719559178645,0.7039911455403419,0.9976151992589125,0.9685068873355261,28,0.4500177059624646
0.5886185644264976,0.43108307298949333,0.7991137493407361,0.9944731237935299,0.9713163034539474,29,0.44546975638415365
0.566429610379299,0.4107987693729176,0.7543160086202649,0.9965861033451887,0.9709642269736841,30,0.440999182494911
