Dice,IoU,Sensitivity,Specificity,Accuracy,epoch,loss
0.16509800247414097,0.09108060530344515,0.7372537229968232,0.8949982144621069,0.8664473684210527,1,2.1693016838383032
0.3401705574058333,0.2100903778033597,0.7334232353050464,0.973296504781947,0.9422399259868421,2,1.5804843612619348
0.4144695149241547,0.26669024736454494,0.797423482581755,0.9780527021607476,0.951796361019737,3,1.3225416106146735
0.48648575707386227,0.33053465563072615,0.7545945670911247,0.9918096918548376,0.9654214638157895,4,1.165136862445522
0.5364686910293224,0.3784865492034072,0.7582881938102468,0.9933014772931698,0.9675113075657894,5,1.0468229957529016
0.4819149472070783,0.3248110980073337,0.7605323964363766,0.9939100079722925,0.9637978001644738,6,0.9563240376678673
0.5591200563627408,0.39916200982215916,0.8581307135111407,0.9845366484282061,0.9648159950657894,7,0.8865697174458891
0.5985053240139604,0.44250475410131346,0.8073800222139179,0.9924532779138777,0.9700642475328948,8,0.8165298168723648
0.5928505114046697,0.4365700732350828,0.7642247381927533,0.9945308582068167,0.9707329358552631,9,0.7633439656850454
0.5567690040028599,0.40060931220300905,0.7132748932338683,0.997107703749116,0.9695687705592105,10,0.7191466930750254
0.5637082086144644,0.3969513065675397,0.8496685262398043,0.9913981833701611,0.9661806126644737,11,0.6745083187077496
0.6160223593962684,0.4615904796680077,0.8854083452869289,0.9864324301018288,0.9687839226973685,12,0.6461851177988825
0.6255735349309385,0.47165848324106596,0.8310296211002721,0.9922899555426001,0.9720651726973686,13,0.6143757604263924
0.5543127375651167,0.40045706877620746,0.7177043354318409,0.9971494427592338,0.9692079564144737,14,0.5934760175846718
0.6075209624085348,0.45078245100304004,0.743815459151779,0.9970481168721478,0.9715984786184212,15,0.5664721751535261
0.6379784753025466,0.48118674082106044,0.8295590532716574,0.9930237880617552,0.9725256990131579,16,0.5466805237370569
0.6316327003409787,0.47704773387857907,0.7846761074332357,0.9961485724911534,0.9735947779605262,17,0.5290544250526944
0.633346507460014,0.47644078803731793,0.8298730625495727,0.9927625685214739,0.972428042763158,18,0.5071668052995527
0.6257434301098503,0.4709344486488342,0.7545653549712202,0.9973860348760402,0.9731142064144737,19,0.48621944237399745
0.5897527135602534,0.42778855305590247,0.7639817760558145,0.9964536872334664,0.9701444284539474,20,0.47309587694503163
0.588027996183289,0.43213071377670226,0.7422285255795843,0.9975199146208326,0.9714144736842103,21,0.4609235895646585
0.6541103701269009,0.4985717925048579,0.841655651879952,0.99338371812662,0.9745245682565791,22,0.45434816383026744
0.6493557830423115,0.4975196054808028,0.7968491452929096,0.9960694244048167,0.9744346217105262,23,0.4400964814263421
0.6441178991967665,0.4869672457406599,0.7956249558921243,0.9958701911280416,0.974215152138158,24,0.43406189535115214
0.6557898911264167,0.5045318822356419,0.7925513696327908,0.9968149947639712,0.9754168379934212,25,0.4263040173698116
0.6588863749924979,0.5047105158326559,0.8216720926901254,0.9948780373113245,0.9749208470394736,26,0.42349460882109563
0.651108761724813,0.49843137032069273,0.784275391797485,0.996994518397691,0.9754708059210527,27,0.41100957828599055
0.6333103548388873,0.47920441108864154,0.7381890087337344,0.9977694917293497,0.9734971217105264,28,0.4001221729291452
0.6365119230482315,0.48224616947543764,0.8091810999374258,0.9955071184671859,0.9741308593750001,29,0.40344953778627757
0.6607588268252944,0.5048039771457818,0.7863631163458251,0.9965922376088063,0.9755108963815788,30,0.3908506841272921
