Dice,IoU,Sensitivity,Specificity,Accuracy,epoch,train_loss
0.4296130722973488,0.2917310076543382,0.9287905467063585,0.9796347170538953,0.9600288102433489,1,1.9743514790826915
0.4922118258576989,0.3442256640013204,0.9437140108085813,0.9870677827289106,0.9703964728278084,2,1.6923930547675308
0.5546365399314609,0.4040019050696091,0.9108402121949698,0.9917155488317017,0.9754053724134291,3,1.444083528048327
0.5744296065736653,0.42530803193713657,0.936688440242326,0.9899959654496586,0.9750555667361698,4,1.2099251414642853
0.5875217257524188,0.43762151556740797,0.9154866376989959,0.9931576901891845,0.9771951541385135,5,0.9967935488743036
0.6312591950504521,0.48204911167088016,0.9100681978980566,0.994483542876468,0.9795165273305532,6,0.8337268831373073
0.6441386592739585,0.49852218649993724,0.8873544685054171,0.9958355658129247,0.9803598847260346,7,0.706679818885667
0.6447558378306152,0.4983870502403973,0.9066569399926504,0.9946910569567533,0.9802078329550251,8,0.6182450067226578
0.6626075427174047,0.5187834501269485,0.9117813161090911,0.9950090524617805,0.9810357830975507,9,0.543259666180935
0.6712634821587105,0.531759377558723,0.8608261809720225,0.9973663702763919,0.98221661541913,10,0.4816874138960222
0.6635838924770627,0.520366526425179,0.7624305622066639,0.9991412742722335,0.9799124475427579,11,0.4352053096707986
0.6928934553862494,0.5548298103290403,0.8985003140690256,0.9965376218001041,0.9829073189400338,12,0.40039385029045094
0.6776209505242009,0.5400660856187719,0.9298050779749216,0.9933681576907987,0.9812049742002744,13,0.3808752159480335
0.6951937118047316,0.5583766627700708,0.9096426750216806,0.9952999058511847,0.9832132370407517,14,0.3525517541839152
0.7079199483585434,0.5731018276411,0.9034981666789473,0.9961033503168827,0.9838320015572214,15,0.33391865299773865
0.6969668057947558,0.563376300358173,0.8145542330928922,0.9984447324055442,0.9822265377560179,16,0.32722767371506917
0.7041654371212127,0.5699023630785123,0.9267948335636357,0.9939142121106083,0.982995795172614,17,0.31153690769356124
0.7156098332873982,0.5835782304183886,0.836644942717137,0.9984483997731306,0.9840029412346919,18,0.3009961522152635
0.7085578537052111,0.5793820813207967,0.8221750591269023,0.9983931259580537,0.9839441495328335,19,0.2868902907282317
0.7203784598867798,0.5901593797447671,0.8926987508363258,0.9969301046304105,0.9847371364284206,20,0.28480533495241284
0.7200509939917561,0.5899953037481774,0.9025704060012374,0.9963423417710484,0.9841515370961783,21,0.27549751607232353
0.7163317740177394,0.5862805543229143,0.904010287678421,0.9953339578034364,0.9842684524123732,22,0.2700049270983456
0.7100753379511545,0.5826338745216859,0.8286060165739012,0.9978266659368337,0.9839711122255066,23,0.27948446967163865
0.7209857917782105,0.5931029031203651,0.901785072180805,0.9965749331000922,0.9843976737357475,24,0.27342092146982955
0.7226101805424326,0.5942462897888613,0.9305423474096075,0.9944590811638098,0.9839491725612329,25,0.26543274428061886
0.723550308606618,0.5955580341887252,0.8520176367243503,0.9980746666281167,0.9843861182960304,26,0.26007621451502755
0.7302084843077723,0.6003876830057228,0.9266465639385972,0.9948111389050406,0.9844695797482054,27,0.2561908263434358
0.7283874146819383,0.6002421544542149,0.8655717175189239,0.9975470716653708,0.9847818323083828,28,0.248254112569856
0.7290208820395513,0.6000874251665553,0.8779552194932974,0.9972930475726982,0.9847382499076224,29,0.24925632617708776
0.7233063149897755,0.5920873106375659,0.8634733182796583,0.9977395799396078,0.9844889542863176,30,0.2476514993476219
