epoch,loss,Dice,IoU,Sensitivity,Specificity,Accuracy
1,1.023728454435194,0.08785561237031846,0.04613387792180251,0.8526225239301329,0.893043835289391,0.8807619094848633
2,0.8537367630649257,0.16921736638628598,0.09302283257321618,0.8251656582037079,0.9695713743710719,0.955105972290039
3,0.7876267449275868,0.22641427442559317,0.12865072871861258,0.8277784063891096,0.982691142116168,0.9682449340820313
4,0.748651572175928,0.286725829579176,0.16921049098916788,0.7835170898212663,0.9914373012604155,0.9763750076293946
5,0.7175566054679252,0.3554389005146681,0.2192236310373333,0.859351176243127,0.9901597949701777,0.9773962020874023
6,0.6903441918862833,0.40149781537298007,0.25566977605415653,0.8653141603792163,0.9905792774693483,0.9785923004150391
7,0.6647608247963158,0.4405491680740711,0.28757677651813984,0.8752713269694332,0.9916528551913231,0.9802873611450196
8,0.6405363759479007,0.5217593294628079,0.3564946371137676,0.8857853682697787,0.9924930651170415,0.9825439453125
9,0.6185006789259009,0.5642909599805328,0.3980715063198695,0.8442567976405527,0.9957023959595048,0.9850687026977539
10,0.597452820958318,0.5842550816793219,0.41667491445478816,0.8620442139214216,0.9939649586112529,0.9844959259033204
11,0.5786999592909942,0.5855697754633354,0.41800357864091875,0.8747451144504643,0.9935294906311469,0.9842891693115234
12,0.559389497782733,0.614164081834597,0.44676619643191673,0.8565931036097615,0.9958200918992837,0.9864023208618165
13,0.5397118410548648,0.5849795747714797,0.4179675077907694,0.8216402109032351,0.9971040858624077,0.9862462997436523
14,0.5184239745140076,0.6096566590397261,0.44262999167068806,0.8477076319547969,0.9958621540737042,0.9863065719604492
15,0.4977891412941185,0.6131306495169416,0.44582095775177527,0.8448270194710444,0.9960573568309112,0.9860965728759765
16,0.47840386951291886,0.6265009835803226,0.460201582990383,0.8336079827254499,0.9965306017502851,0.9867904663085938
17,0.46157847062961477,0.6149666565350947,0.4481303044944534,0.8221198584570137,0.9971307852111041,0.9870285034179688
18,0.44877116502942266,0.5963290939135113,0.429667339890369,0.8588504636100366,0.9953842971528907,0.9853752136230469
19,0.43550795316696167,0.6126269418317254,0.44453678034301164,0.86871283550203,0.9944076027758177,0.9851791381835937
20,0.42057824295920293,0.6141083091122519,0.4461965131000115,0.8542700094330954,0.9958835171294377,0.9862804412841797
