Dice,IoU,Sensitivity,Specificity,Accuracy,epoch,train_loss
0.06064394525583666,0.03149719767181435,0.8051146653487218,0.6292329496098357,0.6126297326990076,1,2.1699337541651564
0.12855265304024646,0.06975985508957666,0.7938360600823163,0.8820142241981759,0.8554430904903928,2,1.8220718600312058
0.20722453339305716,0.11848744747967811,0.8274237887182305,0.9601846895984957,0.9322100830078124,3,1.5687119762102764
0.2321554486308822,0.13558090398931838,0.7646129830154349,0.9865232087416663,0.9565578646273227,4,1.3877934160686674
0.2667424598436193,0.15970570608213056,0.783201348471675,0.9901829023768235,0.9618098408467062,5,1.2533204081107159
0.30832432762915923,0.1894579567120436,0.8232111688403064,0.9903293350107276,0.9640765710779138,6,1.1494103694448665
0.33477517408717883,0.21019423336606863,0.7989422837284184,0.9926560450591511,0.966309253589527,7,1.0683617873662183
0.36708169421654835,0.23447834600405199,0.7986495338748458,0.9943614983191315,0.9685917127454604,8,1.002425651363775
0.39014989087328883,0.25235173656813803,0.8409867686975897,0.9912108885280018,0.9675764341612119,9,0.9478211153526696
0.4267816633897246,0.2811038610441183,0.788312670103164,0.9953825133099701,0.9707987934834248,10,0.9050052760004186
0.44368069964430584,0.29503710012635537,0.8179091860371199,0.994745660569983,0.9714144155141469,11,0.8647319116965443
0.4421155797759576,0.29561158785987673,0.8249697119142989,0.9937992747456142,0.9710085647170609,12,0.8322538986903469
0.465755209330816,0.3148038109148963,0.8585338787473539,0.9917096421492152,0.9709265714078338,13,0.7983789965003526
0.48961896799950927,0.3359979502691356,0.8367343242462374,0.9943121279904361,0.9734279900628167,14,0.7701633548250004
0.4998754553236468,0.34672292962945556,0.8569118741518258,0.9925518412547997,0.972899739033467,15,0.7451634190114987
0.4935751704500316,0.342147328130689,0.8197297834711746,0.9951784051296502,0.9737748182142104,16,0.7235936234597447
0.5185761865958195,0.3635797590659534,0.8255567012830527,0.9950171705715907,0.9746312569283152,17,0.6998105038996456
0.5147123986713042,0.3629194162762865,0.8088664360380463,0.9959852263133168,0.9746519758894636,18,0.6771115650530575
0.5320761488396533,0.37718014975034286,0.8247909160520667,0.9955397692204162,0.9755150377428208,19,0.6573350958678187
0.5437013380485782,0.3898449364485403,0.8499760916575652,0.9944152845307893,0.9756417434279985,20,0.6388967200404122
0.5493518604747768,0.3954973603774473,0.8330169807761305,0.9954383864277992,0.9760037973764779,21,0.6215548471731394
0.5642076759531156,0.40944059097066254,0.8512448173386372,0.9945189701535139,0.9761590658651815,22,0.6032335443967054
0.5714754929159053,0.4161502628110948,0.8622909087073655,0.9938616021197748,0.9763393505199534,23,0.5875153007353244
0.5778741230688412,0.42461227107737265,0.8215345572625153,0.9958388145273649,0.9770692237647803,24,0.5705504071753041
0.5747344834043101,0.4232771335053458,0.8001928340162757,0.9967927080274172,0.9771797056455871,25,0.557274122627414
0.5725261650184379,0.42139289264758834,0.813738976462105,0.9965639380107401,0.9768741999445736,26,0.5405724746029393
0.5925769000374607,0.43817512950649035,0.8273321889562393,0.9961192125673393,0.9777590035103462,27,0.5283820479094576
0.5940512714070834,0.44121610653540594,0.8631839078232751,0.9941931191936515,0.9772178278742608,28,0.513508533944889
0.6000513315517984,0.4483744773367514,0.7883945862440604,0.9973634350614325,0.9781730858055321,29,0.49973395872278276
0.6084272129588787,0.45840725697390194,0.823472162035355,0.9964887132055207,0.9784070319098398,30,0.48727504615070055
