Dice,IoU,Sensitivity,Specificity,Accuracy,epoch,loss
0.12510917955436077,0.06755725984828065,0.9622006298737962,0.6734256696933903,0.6673355263157895,1,2.1766811931455456
0.32115092517427163,0.1966264212855088,0.8927687901118887,0.9148181206506324,0.8944469572368421,2,1.7463583366290942
0.42173431475223283,0.27374434988032725,0.8375811116469113,0.9619110449135668,0.9383120888157894,3,1.5650134118827614
0.4667717546121853,0.3108448806676792,0.903281363358438,0.9687827455226113,0.9489201274671052,4,1.4563377032408844
0.5146288760004832,0.3517411818704062,0.8786549441076567,0.9834432728978292,0.9619094366776316,5,1.3723324633933403
0.5486275457623241,0.38570297016785754,0.8385879957429596,0.9907314896564126,0.9672738486842106,6,1.3014722160390906
0.5682168394176893,0.40422729404746083,0.874588336462202,0.9882325415070585,0.9675791529605262,7,1.2391400756062687
0.5833130261756073,0.41942026255272774,0.8678372036871526,0.9902291761364774,0.9695199424342105,8,1.1838915702458974
0.591743177290155,0.42843193828836396,0.8540813194466876,0.9928586863130942,0.9718739720394737,9,1.1309079608401738
0.6019034039420204,0.4398756587612288,0.8267502489120385,0.9948842061391844,0.9725010279605263,10,1.0843380979589514
0.5947115203683083,0.4331765695542231,0.8445301901515874,0.993413494036441,0.9723216488486843,11,1.0411289092656728
0.5991588414430131,0.4379626658126014,0.8380412388241494,0.9942936319418522,0.9728603001644738,12,1.0008874084498431
0.6184641350240867,0.45495586253871,0.8584504150854303,0.9931231936380714,0.9723956620065788,13,0.9654237257467734
0.6377307130700693,0.4769751143908301,0.8479504084270839,0.9942405566799096,0.973994654605263,14,0.9312995350038683
0.6292993910386553,0.4706047138504596,0.8468347501524182,0.9937187806003167,0.9728371710526316,15,0.8966803276861036
0.6229537840342865,0.4647243389305943,0.8364173109636719,0.9943405031391885,0.9731650904605262,16,0.8668173019950455
0.6271430117053031,0.46759544845805034,0.8490843397844197,0.9941688307684106,0.9731404194078949,17,0.8399249669667836
0.631684933903857,0.4719025848095112,0.8378863394633587,0.9949989583504685,0.9736919202302632,18,0.8142905186962437
0.6312182411418494,0.47190950832485984,0.8549371500308534,0.9937112624810397,0.9730515008223686,19,0.789100123418344
0.6293061299540385,0.47215889366124786,0.8547880491202766,0.9942929741769343,0.9737721011513157,20,0.7664232560106226
0.6342823410828392,0.47400783233797006,0.8626602424576767,0.9935918543386139,0.973469880756579,21,0.745766547886101
0.6292474148361107,0.4719788991782807,0.8138803602382297,0.9960491245497988,0.9739273231907892,22,0.7269274640727688
0.6338972393010982,0.4771822564387362,0.8496441169500946,0.9942285645854562,0.9731913034539473,23,0.7100008661682541
0.6350628276065965,0.4749940843559135,0.8481777002257066,0.9943609913891905,0.973316714638158,24,0.6916459428297507
0.6366961449546213,0.47832315836394623,0.8707652014964594,0.9929029626549098,0.9732920435855265,25,0.6744500656385679
0.6415310133811319,0.4827886243323983,0.8600769424859968,0.9939177570425006,0.9740702097039474,26,0.6585377921929231
0.6338579152769899,0.47389053774076006,0.8622287721394704,0.9936769747272651,0.9731512129934209,27,0.6434450471723402
0.6383697179672665,0.48022605691053033,0.844964360970944,0.9949254313215697,0.9743035567434211,28,0.6285945773124695
0.638144594924765,0.4796579170437192,0.8580683320476035,0.9938346478592387,0.9738949424342105,29,0.6150142099406268
0.6327714304484179,0.47299237573009584,0.8552869698040343,0.9941632443988897,0.9736770148026316,30,0.6019409669412149
